Do_Number,So_Number,Invoice_Number,Weight,CBM,Location_Code
300432,300432,300432,5.3,0.005429,SHTP-0051
300433,300433,300433,10.1,0.013006,SHTP-0051
300434,300434,300434,8.31,0.016538,SHTP-0051
300435,300435,300435,5.3,0.009653,SHTP-0051
300436,300436,300436,5.3,0.009653,SHTP-0051
300437,300437,300437,13.85,0.016538,SHTP-0051
300438,300438,300438,10.6,0.01134,SHTP-0051
300439,300439,300439,7.95,0.009653,SHTP-0051
300440,300440,300440,4.09,0.016095,SHTP-0051
300441,300441,300441,73.25,0.025639,SHTP-0051
300485,300485,300485,11.08,0.016538,SHTP-0852
300486,300486,300486,11.08,0.016538,SHTP-0852
300487,300487,300487,5.3,0.009653,SHTP-0009
300488,300488,300488,102.8,0.022134,SHTP-0055
300489,300489,300489,10.1,0.013006,SHTP-0055
300490,300490,300490,2.65,0.01134,SHTP-0055
300491,300491,300491,2.65,0.009653,SHTP-0055
300492,300492,300492,2.65,0.009653,SHTP-0055
300493,300493,300493,5.54,0.016538,SHTP-0055
300504,300504,300504,3.85,0.006503,SHTP-0760
300505,300505,300505,5.3,0.009653,SHTP-0760
300506,300506,300506,2.65,0.005429,SHTP-0760
300507,300507,300507,5.3,0.009653,SHTP-0760
300508,300508,300508,5.3,0.009653,SHTP-0760
300509,300509,300509,3.85,0.006503,SHTP-0760
300510,300510,300510,4.09,0.016095,SHTP-0760
300511,300511,300511,13.25,0.01134,SHTP-0760
300512,300512,300512,4.09,0.016095,SHTP-0760
300513,300513,300513,14.65,0.025639,SHTP-0760
300514,300514,300514,5.54,0.016538,SHTP-0760
300515,300515,300515,8.31,0.016538,SHTP-0760
300516,300516,300516,16.62,0.016538,SHTP-0760
300517,300517,300517,5.146,0.007812,SHTP-0760
300518,300518,300518,13.25,0.009653,SHTP-0782
300519,300519,300519,10.6,0.01134,SHTP-0055
300520,300520,300520,5.3,0.005429,SHTP-0055
300521,300521,300521,154.2,0.022134,SHTP-0055
300522,300522,300522,43.95,0.025639,SHTP-0055
300523,300523,300523,12.85,0.022134,SHTP-0062
300524,300524,300524,18.75,0.021528,SHTP-0062
300525,300525,300525,18.75,0.021528,SHTP-0062
300526,300526,300526,5.3,0.01134,SHTP-0062
300527,300527,300527,11.08,0.016538,SHTP-0062
300528,300528,300528,43.95,0.025639,SHTP-0062
300529,300529,300529,30.47,0.016538,SHTP-0062
300530,300530,300530,2.77,0.016538,SHTP-0062
300531,300531,300531,2.77,0.016538,SHTP-0062
300544,300544,300544,24.93,0.016538,SHTP-0009
